ts,type,plan_index,plan_time_utc,plan_path,action,reason
2026-02-10T21:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T22:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T22:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T22:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T22:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T23:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T23:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T23:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-10T23:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T00:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T00:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T00:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T00:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T01:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T01:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T01:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T01:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T02:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T02:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T02:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T02:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T03:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T03:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T03:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T03:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T04:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T04:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T04:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T04:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T05:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T05:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T05:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T05:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T06:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T06:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T06:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T06:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T07:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T07:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T07:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T07:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T08:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T08:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T08:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T08:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
